SubjectID;Exo;Weight;Sex;CC_Flex_Accel;CC_Flex_Decel;CC_Ext_Accel;CC_Ext_Decel;ROM_MAX;ROM_MIN;Synergy_Biceps_Flexion;Synergy_Biceps_Extension;Synergy_Triceps_Flexion;Synergy_Triceps_Extension;ROM_TOTAL
1;Yes;Yes;M;28.812;30.892;13.44;28.813;62.108;-34.128;43.674;56.326;69.916;30.084;96.236
1;Yes;No;M;29.695;27.052;18.115;12.614;61.523;-25.748;80.52;19.48;57.189;42.811;87.271
1;No;Yes;M;65.933;13.343;14.399;54.628;69.415;-36.02;44.118;55.882;59.158;40.842;105.435
1;No;No;M;28.804;33.678;14.946;35.202;76.177;-32.355;61.311;38.689;56.906;43.094;108.532
2;Yes;Yes;F;36.642;30.431;25.665;27.139;63.988;-49.613;49.678;50.322;61.206;38.794;113.601
2;Yes;No;F;39.104;19.453;31.058;21.307;62.323;-42.222;53.567;46.433;56.406;43.594;104.545
2;No;Yes;F;61.679;29.451;18.616;50.298;76.94;-62.115;58.984;41.016;66.284;33.716;139.055
2;No;No;F;54.544;23.062;27.286;23.396;67.455;-57.078;60.963;39.037;66.094;33.906;124.533
3;Yes;Yes;M;61.797;37.354;35.909;41.093;49.613;-48.843;49.764;50.236;38.313;61.687;98.456
3;Yes;No;M;7.639;58.788;33.744;36.214;51.927;-43.49;40.377;59.623;56.62;43.38;95.417
3;No;Yes;M;26.185;45.561;41.565;22.42;75.068;-49.558;43.667;56.333;39.152;60.848;124.626
3;No;No;M;15.145;40.81;24.468;44.189;75.913;-50.72;28.608;71.392;29.139;70.861;126.633
4;Yes;Yes;F;29.592;54.149;30.596;26.015;62.963;-38.792;59.827;40.173;51.55;48.45;101.755
4;Yes;No;F;3.466;40.21;34.37;41.461;60.002;-36.823;48.157;51.843;47.123;52.877;96.825
4;No;Yes;F;20.963;55.773;43.972;25.242;75.273;-56.237;50.251;49.749;42.712;57.288;131.51
4;No;No;F;44.241;41.968;18.12;57.854;72.09;-62.903;39.002;60.998;44.634;55.366;134.993
5;Yes;Yes;F;78.645;11.171;30.924;42.855;58.207;-35.827;54.482;45.518;57.254;42.746;94.034
5;Yes;No;F;25.82;25.475;10.836;44.983;56.805;-29.672;72.053;27.947;48.196;51.804;86.477
5;No;Yes;F;44.095;19.416;17.42;55.614;67.658;-47.64;50.486;49.514;50.579;49.421;115.298
5;No;No;F;49.717;40.929;15.046;43.818;78.782;-45.1;72.054;27.946;59.818;40.182;123.882
6;Yes;Yes;F;60.786;25.704;22.731;50.995;57.378;-31.06;45.983;54.017;51.974;48.026;88.438
6;Yes;No;F;41.907;52.862;20.873;43.557;59.528;-32.918;66.671;33.329;67.462;32.538;92.446
6;No;Yes;F;50.975;21.967;11.498;60.727;64.005;-46.845;47.712;52.288;50.54;49.46;110.85
6;No;No;F;29.013;57.966;14.236;49.269;68.233;-52.72;67.821;32.179;55.798;44.202;120.953
7;Yes;Yes;M;15.269;26.404;28.66;4.746;58.048;-39.555;51.917;48.083;57.131;42.869;97.603
7;Yes;No;M;23.463;57.098;26.091;30.134;48.127;-30.942;51.141;48.859;50.316;49.684;79.069
7;No;Yes;M;39.691;31.297;10.946;59.22;69.91;-56.603;49.62;50.38;57.268;42.732;126.513
7;No;No;M;37.276;44.194;10.647;57.379;77.632;-59.648;67.568;32.432;69.332;30.668;137.28
8;Yes;Yes;F;32.336;28.937;31.115;30.179;52.977;-34.185;44.229;55.771;41.394;58.606;87.162
8;Yes;No;F;66.735;24.795;42.516;32.821;51.673;-27.222;35.295;64.705;34.661;65.339;78.895
8;No;Yes;F;46.892;40.587;64.19;17.123;65.04;-37.318;51.004;48.996;43.98;56.02;102.358
8;No;No;F;30.3;35.463;44.575;41.477;62.548;-40.868;29.772;70.228;32.881;67.119;103.416
9;Yes;Yes;M;29.969;33.172;26.96;46.058;60.685;-34.5;39.965;60.035;48.172;51.828;95.185
9;Yes;No;M;34.173;35.117;53.575;16.413;59.845;-22.618;51.113;48.887;59.692;40.308;82.463
9;No;Yes;M;50.836;11.162;27.047;44.078;73.915;-44.57;46.727;53.273;49.207;50.793;118.485
9;No;No;M;48.056;42.902;29.965;33.798;83.175;-54.707;49.202;42.822;47.073;43.958;137.882
10;Yes;Yes;M;53.754;35.771;33.634;40.574;63.294;-40.104;28.623;71.377;36.328;63.672;103.398
10;Yes;No;M;43.999;38.96;16.028;40.773;50.043;-25.958;45.363;54.637;62.064;37.936;76.001
10;No;Yes;M;21.37;42.299;19.414;36.748;53.684;-64.576;46.41;53.59;57.149;42.851;118.26
10;No;No;M;53.297;21.332;28.087;22.642;55.089;-64.305;39.799;60.201;41.714;58.286;119.394
11;Yes;Yes;M;23.505;43.283;47.833;32.784;70.623;-38.931;46.385;53.615;51.716;48.284;109.554
11;Yes;No;M;4.495;26.903;22.67;43.875;67.244;-32.164;45.008;54.992;45.981;54.019;99.408
11;No;Yes;M;16.194;41.889;37.786;11.81;83.876;-71.714;56.687;43.313;48.225;51.775;155.59
11;No;No;M;32.664;33.343;15.658;38.468;79.206;-79.516;34.883;65.117;45.534;54.466;158.722
12;Yes;Yes;F;22.24;20.78;21.994;29.584;61.82;-39.444;66.912;33.088;67.785;32.215;101.264
12;Yes;No;F;16.025;31.912;22.612;47.602;62.448;-30.27;30.073;69.927;53.044;46.956;92.718
12;No;Yes;F;13.307;37.28;49.744;25.804;82.8;-64.45;43.585;56.415;53.122;46.878;147.25
12;No;No;F;26.84;28.583;33.641;34.18;93.728;-62.008;42.055;57.945;58.346;41.654;155.736
13;Yes;Yes;F;13.931;55.335;44.651;31.766;64.504;-29.65;39.796;60.204;52.807;47.193;94.154
13;Yes;No;F;34.615;36.489;32.609;45.89;63.421;-40.429;47.785;52.215;54.566;45.434;103.85
13;No;Yes;F;14.637;64.091;57.954;18.889;75.065;-40.104;50.419;49.581;50.688;49.312;115.169
13;No;No;F;21.333;49.582;38.135;45.305;72.105;-37.477;43.734;56.266;38.466;61.534;109.582
14;Yes;Yes;M;18.473;30.315;29.99;39.326;52.003;-56.259;35.237;64.763;47.203;52.797;108.262
14;Yes;No;M;24.583;22.627;26.172;45.573;44.93;-53.32;24.068;75.932;40.033;59.967;98.25
14;No;Yes;M;24.827;31.686;45.009;16.201;57.381;-63.706;54.207;45.793;66.94;33.06;121.087
14;No;No;M;23.835;24.888;41.111;36.171;53.379;-71.547;36.108;63.892;30.697;69.303;124.926
15;Yes;Yes;F;28.844;55.747;43.926;37.304;54.16;-29.703;55.389;44.611;49.865;50.135;83.863
15;Yes;No;F;31.013;47.406;22.663;18.364;47.625;-33.57;39.429;60.571;60.736;39.264;81.195
15;No;Yes;F;32.945;54.806;48.21;31.445;79.799;-68.974;59.272;40.728;59.001;40.999;148.773
15;No;No;F;12.088;40.968;38.335;37.415;72.271;-65.466;34.807;65.193;51.552;48.448;137.737
16;Yes;Yes;M;30.417;42.99;34.034;32.627;50.675;-29.15;44.101;55.899;33.452;66.548;79.825
16;Yes;No;M;18.71;32.051;25.542;55.398;48.333;-13.1;43.516;56.484;33.326;66.674;61.433
16;No;Yes;M;17.978;60.334;45.513;28.369;55.982;-65.928;53.29;46.71;46.153;53.847;121.91
16;No;No;M;14.192;32.167;40.028;33.693;52.388;-58.403;35.79;64.21;37.054;62.946;110.791
17;Yes;Yes;M;37.852;53.32;52.054;25.977;43.32;-29.444;49.296;50.704;45.146;54.854;72.764
17;Yes;No;M;22.817;43.832;24.127;48.281;34.616;-24.643;31.886;68.114;39.764;60.236;59.259
17;No;Yes;M;21.839;66.287;55.666;13.563;60.466;-73.104;56.512;43.488;44.73;55.27;133.57
17;No;No;M;29.025;53.873;34.997;22.473;63.62;-72.764;44.661;55.339;34.911;65.089;136.384
18;Yes;Yes;F;9.394;68.472;51.195;22.67;52.614;-39.353;53.176;46.824;47.623;52.377;91.967
18;Yes;No;F;10.389;49.695;37.114;41.072;33.224;-50.263;31.491;68.509;34.401;65.599;83.487
18;No;Yes;F;13.96;60.093;52.821;26.654;68.66;-54.889;48.716;51.284;45.719;54.281;123.549
18;No;No;F;7.083;54.99;28.043;58.238;84.186;-54.847;40.447;59.553;41.262;58.738;139.033
19;Yes;Yes;M;52.703;22.41;16.648;36.979;61.754;-34.893;61.247;38.753;54.227;45.773;96.647
19;Yes;No;M;26.196;41.858;33.273;31.713;62.416;-31.816;61.181;38.819;51.198;48.802;94.232
19;No;Yes;M;69.697;19.867;21.706;35.591;73.11;-56.201;56.026;43.974;62.97;37.03;129.311
19;No;No;M;22.316;38.28;20.366;53.133;69.326;-62.371;40.432;59.568;51.655;48.345;131.697
20;Yes;Yes;F;20.649;44.02;62.828;17.518;55.0;-20.634;48.18;51.82;55.244;44.756;75.634
20;Yes;No;F;21.21;34.83;41.995;31.964;32.589;-32.791;39.255;60.745;45.789;54.211;65.38
20;No;Yes;F;15.724;47.18;64.543;14.837;80.503;-61.721;45.791;54.209;59.75;40.25;142.224
20;No;No;F;74.371;33.376;46.226;11.592;69.756;-59.54;33.424;66.576;49.975;50.025;129.296
21;Yes;Yes;M;15.326;30.412;18.474;31.971;46.375;-36.525;38.471;61.529;50.16;49.84;82.9
21;Yes;No;M;82.187;12.986;38.273;22.02;41.59;-37.704;53.634;46.366;42.394;57.606;79.294
21;No;Yes;M;41.98;52.047;62.041;13.62;61.354;-53.187;49.05;50.95;48.193;51.807;114.541
21;No;No;M;21.609;34.371;40.703;27.761;63.341;-53.98;33.785;66.215;42.888;57.112;117.321
22;Yes;Yes;F;45.961;34.625;20.363;36.141;54.361;-34.31;64.842;35.158;64.842;35.158;88.671
22;Yes;No;F;78.135;66.481;65.945;61.562;48.976;-28.988;66.24;33.76;48.897;51.103;77.964
22;No;Yes;F;57.125;30.744;18.029;39.189;59.662;-71.227;66.905;33.095;51.41;48.59;130.889
22;No;No;F;38.654;39.338;34.101;34.992;57.036;-61.831;60.827;39.173;59.014;40.986;118.867
23;Yes;Yes;F;34.54;25.003;35.852;16.169;60.666;-34.294;55.557;44.443;59.958;40.042;94.96
23;Yes;No;F;66.943;83.836;79.811;76.474;53.503;-29.063;57.912;42.088;55.325;44.675;82.566
23;No;Yes;F;54.735;34.607;28.575;19.48;72.409;-65.396;64.91;35.09;54.686;45.314;137.805
23;No;No;F;29.234;40.061;46.572;17.463;67.284;-65.079;55.847;44.153;58.142;41.858;132.363
24;Yes;Yes;F;86.102;80.251;76.007;90.726;51.815;-49.378;66.834;33.166;70.927;29.073;101.193
24;Yes;No;F;72.825;86.629;60.851;53.867;56.535;-21.311;63.314;36.686;74.078;25.922;77.846
24;No;Yes;F;39.666;21.913;38.033;18.334;70.749;-53.239;55.471;44.529;59.49;40.51;123.988
24;No;No;F;51.569;34.506;26.695;37.986;67.726;-52.941;71.464;28.536;68.517;31.483;120.667
25;Yes;Yes;M;57.003;18.694;26.847;33.195;42.092;-57.507;44.262;55.738;64.453;35.547;99.599
25;Yes;No;M;22.354;65.971;32.11;22.886;54.564;-36.583;71.98;28.02;69.473;30.527;91.147
25;No;Yes;M;78.076;15.373;19.792;51.631;83.905;-70.182;48.764;51.236;51.46;48.54;154.087
25;No;No;M;56.549;25.473;20.645;27.42;80.102;-76.727;66.612;33.388;60.2;39.8;156.829
26;Yes;Yes;F;50.386;27.145;29.691;42.884;60.66;-63.88;52.617;47.383;55.317;44.683;124.54
26;Yes;No;F;32.365;57.734;12.683;44.584;57.593;-53.341;76.28;23.72;60.786;39.214;110.934
26;No;Yes;F;81.618;23.327;21.15;55.095;67.696;-52.244;50.954;49.046;53.861;46.139;119.94
26;No;No;F;31.587;51.778;17.863;41.79;78.496;-58.411;59.44;40.56;59.63;40.37;136.907
27;Yes;Yes;M;49.881;45.828;22.594;14.024;81.862;-40.931;65.803;34.197;74.024;25.976;122.793
27;Yes;No;M;39.661;57.214;36.1;13.619;57.781;-43.429;68.573;31.427;75.556;24.444;101.21
27;No;Yes;M;88.483;26.375;28.364;47.32;97.761;-73.759;54.581;45.419;52.33;47.67;171.52
27;No;No;M;48.105;24.734;29.262;22.828;82.78;-80.765;71.904;28.096;52.577;47.423;163.545
28;Yes;Yes;F;44.47;20.362;23.5;53.043;46.157;-27.3;42.8;57.2;53.783;46.217;73.457
28;Yes;No;F;16.063;52.327;14.91;32.838;33.567;-28.79;70.719;29.281;50.798;49.202;62.357
28;No;Yes;F;73.786;10.792;23.765;49.864;53.867;-58.33;40.432;59.568;39.163;60.837;112.197
28;No;No;F;33.867;49.694;29.429;29.376;51.675;-57.364;71.818;28.182;71.741;28.259;109.039
29;Yes;Yes;M;25.478;35.777;26.897;35.911;51.005;-35.375;49.652;46.335;46.62;43.674;86.38
29;Yes;No;M;16.957;55.662;17.119;38.913;52.826;-28.284;56.787;43.213;70.448;29.552;81.11
29;No;Yes;M;37.196;20.666;12.467;45.017;83.486;-55.566;57.115;42.885;58.002;41.998;139.052
29;No;No;M;38.286;28.798;12.458;44.728;82.564;-62.086;63.709;36.291;73.776;26.224;144.65
30;Yes;Yes;M;44.735;40.232;19.028;52.402;41.655;-23.792;62.454;37.546;70.461;29.539;65.447
30;Yes;No;M;35.906;36.28;18.926;39.863;50.207;-23.111;65.536;34.464;70.828;29.172;73.318
30;No;Yes;M;55.785;33.579;9.341;36.49;77.399;-36.25;61.181;38.819;73.469;26.531;113.649
30;No;No;M;41.385;38.07;26.806;36.076;84.928;-45.364;73.708;26.292;68.809;31.191;130.292
